A_local,B_global,shapeTani_A_to_B,shapeTani_B_to_A,shapeTani_symmetric_mean,shapeTani_asymmetry,shapeProtrude_A_from_B,shapeProtrude_B_from_A,centroid_dist_AB_Angstrom,nHeavy_A,nHeavy_B,delta_nHeavy_B_minus_A,abs_delta_nHeavy,A_sdf,B_sdf,rdkit_version
x2193,x0305,0.8868793160144689,0.8870545930042497,0.8869669545093593,0.00017527698978081485,0.7508149221296632,0.750990990990991,2.2979377596341966,16,11,-5,5,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x2193__5RHD_Mpro-x2193_AAR-POS-5507155c-1/5RHD_Mpro-x2193_AAR-POS-5507155c-1_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0305__5R82_Mpro-x0305_AAR-POS-d2a4d1df-5/5R82_Mpro-x0305_AAR-POS-d2a4d1df-5_ligand.sdf,2025.09.6
x0305,x2193,0.8870545930042497,0.8868793160144689,0.8869669545093593,0.00017527698978081485,0.750990990990991,0.7508149221296632,2.2979377596341966,11,16,5,5,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0305__5R82_Mpro-x0305_AAR-POS-d2a4d1df-5/5R82_Mpro-x0305_AAR-POS-d2a4d1df-5_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x2193__5RHD_Mpro-x2193_AAR-POS-5507155c-1/5RHD_Mpro-x2193_AAR-POS-5507155c-1_ligand.sdf,2025.09.6
x0874,x0354,0.8876724015356178,0.8863023420865862,0.886987371811102,0.0013700594490315687,0.7670303745207904,0.7625259412985473,4.424843288345407,13,18,5,5,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0874__5REZ_Mpro-x0874_AAR-POS-d2a4d1df-14/5REZ_Mpro-x0874_AAR-POS-d2a4d1df-14_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0354__5RE9_Mpro-x0354_AAR-POS-d2a4d1df-6/5RE9_Mpro-x0354_AAR-POS-d2a4d1df-6_ligand.sdf,2025.09.6
x0354,x2193,0.9041769041769042,0.9045589564768177,0.904367930326861,0.00038205229991350453,0.8167202572347267,0.8169432747089422,3.4004457065554115,18,16,-2,2,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0354__5RE9_Mpro-x0354_AAR-POS-d2a4d1df-6/5RE9_Mpro-x0354_AAR-POS-d2a4d1df-6_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x2193__5RHD_Mpro-x2193_AAR-POS-5507155c-1/5RHD_Mpro-x2193_AAR-POS-5507155c-1_ligand.sdf,2025.09.6
x2193,x0354,0.9045589564768177,0.9041769041769042,0.904367930326861,0.00038205229991350453,0.8169432747089422,0.8167202572347267,3.4004457065554115,16,18,2,2,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x2193__5RHD_Mpro-x2193_AAR-POS-5507155c-1/5RHD_Mpro-x2193_AAR-POS-5507155c-1_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0354__5RE9_Mpro-x0354_AAR-POS-d2a4d1df-6/5RE9_Mpro-x0354_AAR-POS-d2a4d1df-6_ligand.sdf,2025.09.6
x0434,x0354,0.9081646155881964,0.9098457888493475,0.909005202218772,0.0016811732611511365,0.8176084099868594,0.8197628458498024,5.728725839155716,16,18,2,2,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0434__5R83_Mpro-x0434_AAR-POS-d2a4d1df-11/5R83_Mpro-x0434_AAR-POS-d2a4d1df-11_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0354__5RE9_Mpro-x0354_AAR-POS-d2a4d1df-6/5RE9_Mpro-x0354_AAR-POS-d2a4d1df-6_ligand.sdf,2025.09.6
x0354,x0434,0.9098457888493475,0.9081646155881964,0.909005202218772,0.0016811732611511365,0.8197628458498024,0.8176084099868594,5.728725839155716,18,16,-2,2,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0354__5RE9_Mpro-x0354_AAR-POS-d2a4d1df-6/5RE9_Mpro-x0354_AAR-POS-d2a4d1df-6_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0434__5R83_Mpro-x0434_AAR-POS-d2a4d1df-11/5R83_Mpro-x0434_AAR-POS-d2a4d1df-11_ligand.sdf,2025.09.6
x0874,x0397,0.9879926543297076,0.9886653442901672,0.9883289993099373,0.0006726899604595493,0.9748073503260225,0.9763103346165235,5.380225728882368,13,15,2,2,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0874__5REZ_Mpro-x0874_AAR-POS-d2a4d1df-14/5REZ_Mpro-x0874_AAR-POS-d2a4d1df-14_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0397__5RGI_Mpro-x0397_AAR-POS-d2a4d1df-9/5RGI_Mpro-x0397_AAR-POS-d2a4d1df-9_ligand.sdf,2025.09.6
x2193,x0397,0.988155668358714,0.9883192731992213,0.9882374707789676,0.00016360484050725876,0.9757785467128027,0.9761715647339158,5.13093782534461,16,15,-1,1,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x2193__5RHD_Mpro-x2193_AAR-POS-5507155c-1/5RHD_Mpro-x2193_AAR-POS-5507155c-1_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0397__5RGI_Mpro-x0397_AAR-POS-d2a4d1df-9/5RGI_Mpro-x0397_AAR-POS-d2a4d1df-9_ligand.sdf,2025.09.6
x0397,x2193,0.9883192731992213,0.988155668358714,0.9882374707789676,0.00016360484050725876,0.9761715647339158,0.9757785467128027,5.13093782534461,15,16,1,1,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0397__5RGI_Mpro-x0397_AAR-POS-d2a4d1df-9/5RGI_Mpro-x0397_AAR-POS-d2a4d1df-9_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x2193__5RHD_Mpro-x2193_AAR-POS-5507155c-1/5RHD_Mpro-x2193_AAR-POS-5507155c-1_ligand.sdf,2025.09.6
x0397,x0874,0.9886653442901672,0.9879926543297076,0.9883289993099373,0.0006726899604595493,0.9763103346165235,0.9748073503260225,5.380225728882368,15,13,-2,2,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0397__5RGI_Mpro-x0397_AAR-POS-d2a4d1df-9/5RGI_Mpro-x0397_AAR-POS-d2a4d1df-9_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0874__5REZ_Mpro-x0874_AAR-POS-d2a4d1df-14/5REZ_Mpro-x0874_AAR-POS-d2a4d1df-14_ligand.sdf,2025.09.6
